City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,barcelos,41.5388,-8.6151,25.47,62,65,0.64,PT,1722314159
112,sheregesh,52.9209,87.9869,25.38,45,100,0.77,RU,1722314160
113,talnakh,69.4865,88.3972,25.82,33,86,4.89,RU,1722314162
114,hadibu,12.65,54.0333,26.01,81,100,11.71,YE,1722314163
115,papatowai,-46.5619,169.4708,5.16,70,98,6.15,NZ,1722314165
116,anadyr,64.75,177.4833,16.28,67,40,5.0,RU,1722314167
117,alice springs,-23.7,133.8833,16.75,22,0,6.17,AU,1722314169
118,awjilah,29.1081,21.2869,26.01,60,0,4.85,LY,1722314170
119,ribeira grande,38.5167,-28.7,22.1,88,11,2.68,PT,1722314171
120,qingdao,36.0986,120.3719,34.78,66,40,6.0,CN,1722313860
121,tomatlan,19.9333,-105.25,23.97,94,98,1.33,MX,1722314174
122,pemangkat,1.1667,108.9667,29.43,71,51,5.38,ID,1722314175
123,vernal,40.4555,-109.5287,19.62,26,0,2.06,US,1722314176
124,bredasdorp,-34.5322,20.0403,8.52,82,100,2.09,ZA,1722314178
125,utrik,11.2278,169.8474,27.98,82,49,8.45,MH,1722314179
126,garden city,42.3256,-83.331,24.44,92,100,4.63,US,1722313886
127,keflavik,64.0049,-22.5624,10.24,100,75,3.09,IS,1722314181
128,dazhou,31.2159,107.5009,27.97,79,86,1.76,CN,1722314184
129,longyearbyen,78.2186,15.6401,7.91,93,75,3.6,SJ,1722313966
130,flying fish cove,-10.4217,105.6791,26.82,73,100,6.17,CX,1722314186
131,east ballina,-28.8667,153.5833,18.22,57,98,9.43,AU,1722314187
132,shingu,33.7333,135.9833,33.57,54,2,1.77,JP,1722314188
133,sao paulo de olivenca,-3.3783,-68.8725,23.34,86,27,1.02,BR,1722314190
134,beboto,8.2668,16.939,20.43,98,99,1.69,TD,1722314191
135,midvagur,62.0511,-7.1939,9.46,93,100,4.12,FO,1722314192
136,tejen,37.3834,60.5054,30.57,31,1,5.92,TM,1722314194
137,xinqing,48.2333,129.5,30.27,44,47,0.84,CN,1722314195
138,avarua,-21.2078,-159.775,20.03,56,40,4.12,CK,1722314196
139,porto velho,-8.7619,-63.9039,25.03,83,11,0.51,BR,1722314197
140,nova xavantina,-14.6667,-52.35,21.75,43,0,0.07,BR,1722314198
141,yeppoon,-23.1333,150.7333,19.88,52,0,6.31,AU,1722314201
142,san bernardo del viento,9.3533,-75.9524,27.94,85,26,4.05,CO,1722314202
143,sadovoye,47.7764,44.5089,28.0,42,7,2.67,RU,1722314203
144,qaqortoq,60.7167,-46.0333,7.95,86,100,5.1,GL,1722314205
145,fort st. john,56.2499,-120.8529,18.94,45,20,2.06,CA,1722314065
146,xai-xai,-25.0519,33.6442,14.89,79,0,2.59,MZ,1722314207
147,cha grande,-8.2383,-35.4617,18.34,98,72,2.82,BR,1722314210
148,jutai,-5.1833,-68.9,25.09,61,72,0.57,BR,1722314212
149,crocetta del montello,45.8367,12.0336,23.04,80,0,3.09,IT,1722314213
150,dryden,49.7833,-92.7503,21.16,73,0,1.54,CA,1722314214
151,kittila,67.6647,24.8936,13.12,88,100,4.12,FI,1722314215
152,babana,10.4295,3.815,22.13,97,99,2.09,NG,1722314217
153,lata,40.1629,-8.3327,19.49,83,20,1.23,PT,1722314218
154,nogliki,51.8333,143.1667,15.25,78,84,5.18,RU,1722314219
155,tingo maria,-9.2895,-76.0088,20.68,90,56,1.0,PE,1722314220
156,akjoujt,19.6969,-14.4164,28.4,39,1,3.85,MR,1722314222
157,mar del plata,-38.0023,-57.5575,4.01,73,0,4.63,AR,1722314223
158,uturoa,-16.7333,-151.4333,23.56,88,94,7.72,PF,1722314224
159,sakaiminato,35.55,133.2333,32.99,66,20,10.29,JP,1722314225
160,la gi,10.6667,107.7833,30.2,69,81,6.07,VN,1722314226
161,jalai nur,49.45,117.7,27.9,53,31,2.1,CN,1722314228
162,ambon,-3.6954,128.1814,26.08,89,40,1.54,ID,1722314229
163,carnarvon,-24.8667,113.6333,22.14,43,0,0.73,AU,1722314230
164,ormara,25.2088,64.6357,28.65,88,100,6.1,PK,1722314232
165,st. john's,47.5649,-52.7093,21.27,95,20,13.89,CA,1722314233
166,vilyuysk,63.7553,121.6247,18.4,39,3,5.85,RU,1722314235
167,gadzhiyevo,69.2551,33.3362,10.47,89,100,7.04,RU,1722314236
168,kiziltepe,37.1933,40.585,31.2,27,0,4.12,TR,1722314238
169,chonchi,-42.6128,-73.8092,5.07,81,100,1.12,CL,1722314240
170,vanino,49.0869,140.2543,16.9,68,74,4.32,RU,1722314242
171,isafjordur,66.0755,-23.124,6.82,94,100,3.22,IS,1722314243
172,kapa'a,22.0752,-159.319,23.94,86,100,3.6,US,1722314245
173,weligama,5.9667,80.4167,27.17,72,82,4.94,LK,1722314246
174,bilibino,68.0546,166.4372,12.01,48,97,1.0,RU,1722314247
175,stanley,54.868,-1.6985,10.95,100,0,0.51,GB,1722314248
176,san luis de la loma,17.2706,-100.8939,27.16,85,98,0.98,MX,1722314249
177,chegdomyn,51.1167,133.0167,29.51,41,2,1.64,RU,1722314251
178,margate,51.3813,1.3862,19.39,89,13,2.21,GB,1722314252
179,colares,38.7992,-9.4469,22.55,77,0,4.43,PT,1722314253
180,holualoa,19.6228,-155.9522,24.2,84,98,2.12,US,1722314255
181,mount isa,-20.7333,139.5,23.87,15,0,5.66,AU,1722314256
182,port lincoln,-34.7333,135.8667,14.67,46,60,4.91,AU,1722314257
183,tadine,-21.55,167.8833,22.7,71,97,3.04,NC,1722314258
184,tolanaro,-25.0319,46.9987,20.04,83,40,3.09,MG,1722314260
185,coahuayana de hidalgo,18.7,-103.6583,25.52,92,97,1.65,MX,1722314261
186,rawson,-43.3002,-65.1023,7.56,45,44,7.67,AR,1722314262
187,mangrol,21.1167,70.1167,28.63,83,99,6.44,IN,1722314263
188,quellon,-43.1167,-73.6167,6.19,75,100,3.12,CL,1722314265
189,al kharijah,25.4514,30.5464,30.54,24,98,3.19,EG,1722314266
190,monster,52.0258,4.175,18.94,83,13,1.54,NL,1722314267
191,mitu,1.1983,-70.1733,20.98,98,100,0.43,CO,1722314268
192,taoudenni,22.6783,-3.9836,35.14,30,11,4.95,ML,1722314269
193,ancud,-41.8697,-73.8203,5.55,74,100,3.07,CL,1722314271
194,weno,7.4515,151.8468,32.97,70,20,1.54,FM,1722314272
195,dhuusamarreeb,5.535,46.3861,25.54,62,58,10.39,SO,1722314273
196,tindouf,27.6711,-8.1474,29.25,32,0,5.14,DZ,1722314274
197,norfolk,42.1668,-71.2495,21.05,95,100,0.0,US,1722314275
198,kone,-21.0595,164.8658,21.97,72,98,3.81,NC,1722314277
199,matoury,4.8483,-52.3317,25.98,89,0,0.0,GF,1722314278
200,mariehamn,60.0973,19.9348,16.57,94,0,2.06,AX,1722314280
201,crane,31.3974,-102.3501,29.58,40,0,9.64,US,1722314283
202,kodinsk,58.6881,99.1844,28.99,40,41,2.46,RU,1722314284
203,port isabel,26.0734,-97.2086,29.02,85,0,5.66,US,1722314286
204,new norfolk,-42.7826,147.0587,12.18,56,97,0.97,AU,1722314287
205,tyukhtet,56.5389,89.3011,25.82,53,69,1.76,RU,1722314288
206,cafayate,-26.073,-65.9761,6.36,82,35,1.31,AR,1722314289
207,college,64.8569,-147.8028,12.99,83,75,4.63,US,1722314291
208,navolato,24.7672,-107.6944,31.1,80,0,1.72,MX,1722314292
209,tofol,5.3248,163.0078,28.87,70,3,3.17,FM,1722314293
210,wewak,-3.5534,143.6268,29.24,72,49,4.86,PG,1722314294
211,georgetown,5.4112,100.3354,32.96,58,20,3.09,MY,1722314148
212,primorsk,46.7348,36.3443,23.18,41,68,5.83,UA,1722314297
213,pangody,65.85,74.4859,20.88,76,100,1.56,RU,1722314298
214,umba,66.6871,34.3429,12.49,85,100,5.91,RU,1722314299
215,la passe,45.5549,-0.8967,22.13,80,100,3.33,FR,1722314300
216,hithadhoo,-0.6,73.0833,28.99,75,79,5.32,MV,1722314301
